Questions,Answers
"""I'm overwhelmed by all my responsibilities.""","""It's okay to feel overwhelmed sometimes. Try using the Pomodoro Technique: work for 25 minutes, then take a 5-minute break. It can help you stay focused without feeling exhausted."""
"""I can't seem to calm down when I'm stressed.""","""Have you tried progressive muscle relaxation? Tense each muscle group for 5 seconds, then release. It can help reduce physical tension."""
"""I'm stressed about not meeting everyone's expectations.""","""Remember, it’s okay to set boundaries. Practice saying 'no' when you need to. Your well-being is important too."""
"""I feel tense all the time.""","""How about trying some mindful stretching or yoga? Even a few minutes can help release tension in your body."""
"""I keep procrastinating and then get stressed.""","""Procrastination often adds to stress. Try the 2-minute rule: if a task takes less than 2 minutes, do it now. It helps build momentum."""
"""I get nervous before presentations.""","""That’s common! Practice visualization: imagine yourself giving a successful presentation. It can help boost your confidence and reduce anxiety."""
"""I can't stop thinking about my problems.""","""It might help to set aside 'worry time.' Allow yourself 15 minutes a day to think about your concerns, then move on to other activities."""
"""I'm stressed and feel like I can't control anything.""","""When things feel out of control, focus on what you can control, like your breathing or the way you respond. Let’s take a few deep breaths together."""
"""I feel stressed about making mistakes.""","""Mistakes are part of learning. Try practicing self-compassion: speak to yourself like you would to a friend who made a mistake."""
"""I feel like I'm always running out of time.""","""Time management can be tricky. Have you tried the Eisenhower Matrix? It helps you prioritize tasks by urgency and importance."""
"""I feel stressed when I can't solve a problem.""","""When you hit a roadblock, take a step back and try the '5 Whys' technique: ask yourself why 5 times to get to the root of the problem."""
"""How can I calm myself quickly in a stressful situation?""","""Try the 4-7-8 breathing technique: inhale for 4 seconds, hold for 7 seconds, and exhale for 8 seconds. It’s great for quickly reducing stress."""
"""I'm feeling burnt out.""","""Burnout is tough. Take some time to recharge with activities you enjoy, even if it’s just a few minutes of listening to your favorite music or going for a short walk."""
"""Hi""","""Hello! 😊 Remember, 'The journey of a thousand miles begins with a single step.' How can I support you today?"""
"""Hello""","""Hi there! 🌟 'Believe you can, and you're halfway there.' What’s on your mind?"""
"""Hey""","""Hey! 💪 'Difficult roads often lead to beautiful destinations.' Let’s talk about what’s bothering you."""
"""Hi, I need someone to talk to.""","""I’m glad you reached out! 🤗 'You don’t have to see the whole staircase, just take the first step.' Let’s take that step together."""
"""I'm feeling down.""","""I’m sorry to hear that. 'The only limit to our realization of tomorrow is our doubts of today.' You’ve got this, and I’m here for you."""
"""Good morning""","""Good morning! ☀️ 'Every day is a new beginning. Take a deep breath, smile, and start again.' How are you feeling today?"""
"""Good afternoon""","""Good afternoon! 🌻 'Keep going. Everything you need will come to you at the perfect time.' What’s on your mind?"""
"""Good evening""","""Good evening! 🌙 'It’s not about being the best; it’s about being better than you were yesterday.' How was your day?"""
"""I need some motivation.""","""I’ve got you! 💪 'Success is not final, failure is not fatal: It is the courage to continue that counts.' You’re stronger than you think."""
"""I'm stressed and need a positive start.""","""Let’s begin with this: 'Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle.' We can get through this together."""
"""I'm feeling a bit lost.""","""I understand. 'Not all those who wander are lost.' Sometimes the path isn’t clear, but every step you take is a step forward."""
"""Hi, can you help me relax?""","""Absolutely! 'Breathe. It’s just a bad day, not a bad life.' Let’s start with a deep breath together."""
"""I need some encouragement.""","""You’ve come to the right place! 'The best way to predict the future is to create it.' Keep going—you’re doing great!"""
"""I'm not sure how to start.""","""No worries! 'The secret of getting ahead is getting started.' Let’s take it one step at a time. What’s on your mind?"""
"""I’m feeling overwhelmed.""","""I’m here for you. 'When you feel like giving up, remember why you started.' Let’s break things down together and find a way forward."""
"""Hello, I need a pep talk.""","""You’ve got this! 🌟 'The only way to achieve the impossible is to believe it’s possible.' I believe in you—let’s tackle this together."""
"""Hey, I could use some positivity.""","""Sure thing! 'Keep your face always toward the sunshine, and shadows will fall behind you.' What can we focus on today?"""
"""I'm feeling anxious about the future.""","""That’s understandable. 'Don’t watch the clock; do what it does. Keep going.' Focus on what you can do now, and the rest will follow."""
"""Hi, can you give me some motivation?""","""Of course! 'The only person you are destined to become is the person you decide to be.' Let’s make today a good one!"""
"""Hello, I need a bit of support today.""","""I’m here for you! 'It always seems impossible until it’s done.' Let’s take it one step at a time together."""
"""Hi, I’m feeling a bit discouraged.""","""I’m sorry you’re feeling this way. 'Every setback is a setup for a comeback.' Let’s talk about it and find a way forward."""
"""I'm feeling really anxious.""","""I’m here for you. How about we try a quick breathing exercise? Inhale deeply for 4 seconds, hold for 4, and exhale for 4. Let’s do it together a few times."""
"""I can't focus on anything right now.""","""It’s okay to feel like this. Let’s do a quick 5-4-3-2-1 grounding exercise: Name 5 things you can see, 4 things you can touch, 3 things you can hear, 2 things you can smell, and 1 thing you can taste."""
"""I feel really overwhelmed.""","""I understand. Let’s take a moment to write down 3 things that are bothering you and 3 things you’re grateful for. Sometimes putting thoughts on paper can help clear your mind."""
"""I'm stressed and don't know what to do.""","""Let’s take a short break. How about standing up, stretching your arms, and taking a deep breath? Even a quick stretch can help release some tension."""
"""I feel like I’m not accomplishing anything.""","""It’s normal to feel this way sometimes. Let’s try setting a small, achievable goal for the next 10 minutes. What’s one tiny task you can complete right now?"""
"""I can't stop overthinking.""","""Overthinking can be exhausting. Try this: set a timer for 2 minutes, close your eyes, and focus only on your breathing. Inhale slowly, then exhale slowly. Let’s see if that helps calm your mind."""
"""I need to clear my mind.""","""Let’s try a quick visualization exercise. Close your eyes and imagine a place where you feel completely at peace. Describe it to me—what do you see, hear, and feel?"""
"""I feel so alone.""","""I’m sorry you’re feeling this way. How about we do something together? Let’s try listening to your favorite song or watching a short, funny video to lighten the mood. What do you think?"""
"""I'm feeling really down today.""","""I’m here for you. Would you like to try a quick 5-minute activity that might help? You could go outside for a short walk, or even just open a window and take a few deep breaths of fresh air."""
"""I can't seem to relax.""","""Let’s try a body scan exercise. Close your eyes and slowly focus on each part of your body, from your toes to your head, noticing any tension and letting it go as you breathe out."""
"""I feel stuck in a negative thought loop.""","""Let’s break that loop with a simple task. Can you find 3 things around you that make you happy or bring you comfort? It can be anything, like a cozy blanket or a favorite photo."""
"""I need a distraction from my stress.""","""How about we play a quick game? I’ll start a sentence, and you complete it with the first positive thought that comes to mind. For example: 'I am grateful for...'"""
"""I feel like I’m not good enough.""","""I’m really sorry you’re feeling this way. Let’s try a positive affirmation together: Repeat after me, 'I am capable, I am enough, and I am doing my best.' Say it out loud or to yourself a few times."""
"""I'm too stressed to focus on anything.""","""Let’s try the Pomodoro Technique. Set a timer for 5 minutes and focus on just one small task. After 5 minutes, take a short break. It can help to break things down into tiny, manageable steps."""
"""I’m feeling really upset and can’t calm down.""","""Let’s try tapping, also known as EFT (Emotional Freedom Technique). Gently tap your fingertips on your forehead while taking deep breaths. It might feel strange at first, but it can be very calming."""
"""I feel like everything is going wrong.""","""I’m here for you. Let’s flip the script for a moment. Can you tell me one small thing that went right today, no matter how tiny it seems?"""
"""I'm feeling very low energy.""","""Sometimes a change in activity helps. Would you like to try a 2-minute dance party? Put on an upbeat song you like and dance like no one’s watching. It can help boost your mood!"""
"""I'm really tense right now.""","""Let’s try a quick progressive muscle relaxation exercise. Start by tensing your feet muscles for 5 seconds, then release. Slowly work your way up to your head, tensing and releasing each muscle group."""
"""I don’t feel motivated to do anything.""","""Motivation can be hard to find when you’re feeling low. Let’s try something small and simple: drink a glass of water or take 3 deep breaths. Small actions can help build momentum."""
"""I can’t shake off this bad mood.""","""How about writing a short gratitude list? List 3 things, big or small, that you’re thankful for right now. It can help shift your focus to something positive."""
"""I’m feeling really down today.""","""I’m so sorry you’re feeling this way. It’s okay to not be okay sometimes. I’m here to listen whenever you’re ready to talk."""
"""I can’t stop crying, and I don’t know why.""","""I’m really sorry you’re feeling this way. It sounds like you’re going through a tough time. It’s okay to cry—sometimes letting it out can help."""
"""I feel like no one understands me.""","""That must be incredibly lonely. I may not fully understand what you’re going through, but I’m here to listen without judgment. You’re not alone in this moment."""
"""I feel like a failure.""","""I’m really sorry you feel this way. You’re not a failure—everyone has moments where they feel down about themselves. It’s part of being human, and it doesn’t define your worth."""
"""I’m scared about the future.""","""I understand—it’s completely normal to feel scared about the unknown. It’s okay to have fears, and it’s okay to talk about them. I’m here for you."""
"""I’m feeling so anxious, and I don’t know why.""","""Anxiety can be really hard to deal with, especially when it seems to come out of nowhere. It’s okay to feel this way, and you’re not alone in this. Would you like to talk about what’s on your mind?"""
"""I keep making the same mistakes over and over.""","""That sounds really frustrating. It’s okay to make mistakes—we all do. What’s important is that you’re aware of them and want to make a change. You’re taking steps in the right direction."""
"""I feel so ashamed of my thoughts.""","""It’s okay to have thoughts that you don’t like. We all have moments like that, and it doesn’t make you a bad person. You’re not alone, and I’m here to listen without judging."""
"""I don’t feel like I’m good enough for anyone.""","""I’m really sorry you’re feeling this way. It sounds incredibly painful. You are enough just as you are, even if it doesn’t feel that way right now. I’m here to support you."""
"""I’m so embarrassed about how I handled things.""","""It’s understandable to feel that way. It’s part of being human to sometimes react in ways we wish we hadn’t. It’s okay to make mistakes—you’re learning and growing."""
"""I can’t seem to get over this sadness.""","""It must be really hard to feel this way for a long time. It’s okay to be sad, and it’s okay to take the time you need to heal. I’m here for you whenever you want to talk."""
"""I feel like giving up.""","""I’m really sorry you’re feeling this way. It sounds incredibly tough. I want you to know that your feelings are valid, and it’s okay to express them. You don’t have to go through this alone."""
"""I’m afraid people will judge me if I share my feelings.""","""That’s a very real fear. It’s hard to open up when you’re worried about judgment. I want you to know that I’m here to listen, without any judgment. Your feelings matter."""
"""I don’t have the energy to do anything.""","""I’m sorry you’re feeling this way. It’s okay to have days when you don’t feel up to doing anything. Be kind to yourself—you’re allowed to rest."""
"""I’m struggling with my self-worth.""","""I’m really sorry you’re feeling this way. It’s hard when you don’t see your own value, but you are valuable just for being you. It’s okay to struggle, and I’m here to listen."""
"""I feel like my emotions are too much for people.""","""It can be tough to feel like you’re overwhelming others with your emotions. But your feelings are valid, and it’s okay to express them. You deserve to be heard."""
"""I keep worrying about what people think of me.""","""That’s a very common feeling, and it can be really hard to deal with. It’s okay to be concerned about what others think, but remember that your feelings and thoughts are just as important."""
"""I don’t know if I can keep going like this.""","""I’m really sorry you’re feeling this way. It sounds like you’re carrying a lot right now. It’s okay to take things one step at a time. I’m here to support you."""
"""I’m afraid I’ll never feel better.""","""I understand why you might feel that way. It’s really hard when it feels like there’s no end in sight. It’s okay to have these thoughts, and it’s okay to talk about them. I’m here to listen."""
"""I feel like I can’t talk to anyone about this.""","""That sounds really isolating. It’s tough to feel like you have no one to talk to. I want you to know that I’m here for you, and you can share whatever you’re comfortable with, without any pressure or judgment."""
"""I’m struggling to stick to my study schedule.""","""That’s a common challenge. How about we try breaking your study sessions into smaller chunks? The Pomodoro technique might help: Study for 25 minutes, then take a 5-minute break. It can make the workload feel less overwhelming."""
"""I can’t focus on my studies.""","""Focusing can be tough, especially with all the pressure. Let’s try a quick exercise: Take a deep breath, close your eyes, and focus on counting your breaths for a minute. This can help clear your mind before you get back to studying."""
"""I have so much to cover, and I feel overwhelmed.""","""It’s understandable to feel overwhelmed. Let’s break it down together. Start by making a list of topics, and prioritize them based on difficulty and importance. Tackling one topic at a time can make it seem more manageable."""
"""I don’t know where to start with my revision.""","""Starting can be the hardest part! How about beginning with a subject you’re most comfortable with? It can help build momentum. Once you get into the flow, gradually move on to tougher topics."""
"""I’m feeling anxious about the upcoming exam.""","""It’s completely normal to feel anxious before a big exam. How about we take a moment to breathe deeply and then try a grounding exercise? Write down 3 things you know well from your syllabus to remind yourself of your strengths."""
"""I’m worried I won’t be able to finish the syllabus.""","""That’s a common concern, but remember, it’s not always about finishing everything. Focus on mastering key concepts first. Quality over quantity is important. Prioritize high-weightage topics and give yourself credit for what you’ve already learned."""
"""I’m feeling very stressed about my performance.""","""I hear you—it’s a lot of pressure. It’s okay to feel stressed, but try to focus on what you can control. Would you like to set a small, achievable study goal for the next hour? Completing a small task can boost your confidence."""
"""I can’t remember what I’ve studied.""","""Memory retention can be tricky. Have you tried spaced repetition? It’s a technique where you review the material at increasing intervals. Also, teaching what you’ve learned to someone else can help reinforce your memory."""
"""I’m losing motivation to study.""","""It’s normal to feel this way during intense prep periods. Let’s take a quick 5-minute break and do something you enjoy—it could be listening to a favorite song or taking a short walk. Sometimes a small refresh can bring back your motivation."""
"""I’m struggling with a specific subject.""","""That can be tough. Would it help to change your approach? You could try watching video tutorials or joining a study group for that subject. Sometimes a different perspective can make difficult topics clearer."""
"""I’m not getting enough sleep because of studying.""","""Sleep is really important, especially when you’re preparing for exams. Your brain needs rest to absorb information. Try setting a fixed time to stop studying each night, and aim for at least 7-8 hours of sleep. It might help with your focus the next day."""
"""I feel like I’m not making any progress.""","""It can be discouraging when progress feels slow. How about tracking your daily achievements, no matter how small? Even small wins like understanding a concept or finishing a chapter add up over time."""
"""I’m afraid I’ll fail the exam.""","""It’s completely normal to have fears about failure, especially with high-stakes exams. Remember, your worth isn’t determined by one test. Let’s focus on preparing the best you can, step by step. I’m here to support you through it."""
"""How can I manage my time better for studying?""","""Time management is key. Have you tried creating a study timetable? Allocate specific time slots for each subject and include short breaks to recharge. Setting realistic daily goals can also help keep you on track."""
"""I’m feeling burnt out from studying too much.""","""Burnout is a sign that your brain needs a break. It’s okay to step back for a while and do something relaxing. Even a 15-20 minute walk, some light exercise, or meditation can help refresh your mind."""
"""I get distracted easily while studying.""","""Distractions can be hard to handle, especially with so many around us. Try the '2-Minute Rule'—if a distraction pops up, tell yourself you’ll focus on it in 2 minutes. Usually, by then, you’ll be back in your study flow."""
"""I’m worried about what my parents will think if I don’t do well.""","""That’s a lot of pressure to carry. It’s understandable to worry about others’ expectations, but remember that your effort and well-being matter most. Try to focus on doing your best for yourself, rather than the expectations of others."""
"""I can’t keep up with my peers, and it’s stressing me out.""","""It’s natural to compare ourselves to others, but remember, everyone has their own pace and strengths. Focus on your progress and the effort you’re putting in. Small, consistent steps will lead to improvement over time."""
"""I don’t feel prepared even though I’ve studied a lot.""","""Feeling unprepared is common, especially before an exam. It might help to take a mock test or quiz yourself on key topics. You may know more than you think, and practice can help boost your confidence."""
"""I’m feeling isolated while studying.""","""Studying alone can feel lonely. Have you considered joining an online study group or having a virtual study session with a friend? Sometimes sharing the experience with others can help reduce that feeling of isolation."""
"""I’m getting very nervous as the exam date approaches.""","""It’s normal to feel nervous as the exam nears. Try focusing on what you’ve already accomplished and set small, specific goals for the days leading up to the exam. Remember to take care of your mental and physical health as well."""
"Hi!""","""Hello! How’s it going?"""
"""How are you?""","""I’m doing great, thank you for asking! How about you?"""
"""What’s your name?""","""I’m SkabBot! How can I assist you today?"""
"""How’s the weather?""","""I don’t know the exact weather, but I hope it’s beautiful where you are! How’s the weather on your side?"""
"""What’s your favorite color?""","""I don’t have a favorite color, but I think blue is a calming and peaceful color. What’s yours?"""
"""Where are you from?""","""I’m not from a specific place, but I’m here to help you wherever you are!"""
"""What do you do?""","""I’m here to help answer questions, offer support, and assist with anything you need. What can I do for you today?"""
"""Can you tell me a joke?""","""Sure! Why don’t skeletons fight each other? Because they don’t have the guts!"""
"""What’s the time?""","""I don’t have access to real-time information, but you can easily check the time on your device! What time is it for you?"""
"""Do you like music?""","""I think music is amazing! There’s a song for every mood. What kind of music do you like?"""
"""What’s 5 + 5?""","""5 + 5 is 10!"""
"""Tell me something interesting.""","""Did you know that honey never spoils? Archaeologists have found pots of honey in ancient tombs that are over 3,000 years old!"""
"""What is your favorite food?""","""I don’t eat, but I’ve heard pizza is a popular favorite! Do you have a favorite food?"""
"""Can you help me with a problem?""","""Of course! What’s the problem? I’ll do my best to help you out."""
"""Where do you live?""","""I don’t have a physical home, but I’m here to chat with you from anywhere you are!"""
"""What do you think of the internet?""","""The internet is amazing! It connects people, provides knowledge, and allows creativity to flourish. What do you think?"""
"""Do you have any hobbies?""","""I don’t have hobbies like humans do, but I enjoy helping out with different tasks and answering your questions!"""
"""What’s the meaning of life?""","""That’s a big question! Many believe it’s about finding happiness, love, and meaning in the little things. What do you think?"""
"""Can you speak other languages?""","""I can understand and communicate in many languages! How can I help you with another language?"""
"""What’s your favorite movie?""","""I don’t watch movies, but I’ve heard a lot about The Shawshank Redemption and The Godfather. What’s your favorite?"""
"""Can you recommend a book?""","""Sure! If you like fiction, 1984 by George Orwell is a classic. If you prefer something light, The Alchemist by Paulo Coelho is a great read. Any specific genre you like?"""
"""What’s your favorite animal?""","""I don’t have a favorite, but I think cats and dogs are wonderful companions! Do you have a favorite animal?"""
"""What are you doing?""","""I’m chatting with you! I’m always ready to assist. What’s going on with you?"""
,
,
,
,
,
I am feeling lonely,I am feeling lonelyI am feeling lonely
"python -u ""/home/bhupi/Desktop/code/Chatbot/main.py""","python -u ""/home/bhupi/Desktop/code/Chatbot/main.py""What is the command to do that?"
My name is Raj,"My name is RajI'm not sure if you're joking or not, but I'm pretty sure that's not a real name."
I have so much to cover,I have so much to coverI'm so excited for this.
Do you know me?,"Do you know me?I'm not sure who you are, but I'm not sure I know you."
I gave you a coin,I gave you a coinI'll take a random
Spin a coin,Spin a coinWhat is the best way to get a better picture of the inside of the box?
i don't know,i don't knowWhat's the point of this post?
What is your name?,"Sorry, I couldn't understand your question. Can you rephrase?"
Who is Elon Musk,"Sorry, I couldn't understand your question. Can you rephrase?"
